Translation Keys,en-US,ru,ru-RU,uk-UA
Bulk Edit,Bulk Edit,,Массовое изменение,Bulk Edit
Cancel,Cancel,,Отмена,Cancel
Cancel Edit,Cancel Edit,,Отменить Редактирование,
Choose File,Choose File,,Выбрать файл,
Copy,Copy,,Копировать,
Copy All,Copy All,,Скопируйте Все,
Crop the image,Crop the image,,Обрезать изображение,
Exit Bulk Edit,Exit Bulk Edit,,Выход из массового редактирования,
Exit Sorting Mode,Exit Sorting Mode,,Выход из Режима Сортировки,
Last Week,Last Week,,Последняя Неделя,
Latest Orders,Latest Orders,,Последние заказы,
Localized,Localized,,Локализованный,
Not Localized,Not Localized,,Не Локализованный,
OK,OK,,OK,
Paid Orders Count,Paid Orders Count,,Количество оплаченных заказов,
Qor DEMO,Qor DEMO,,Qor DEMO,
Query Mode,Query Mode,,Режим Запроса,
Registered Users Count,Registered Users Count,,Количество зарегистрированные пользователей,
Reports,Reports,,Отчеты,
Save,Save,,Сохранить,
Saved,Saved,,Сохраненный,
Sorting Mode,Sorting Mode,,Режим Сортировки,
Source,Source,,Исходник,
Target,Target,,Назначение,
This Week,This Week,,Текущая Неделя,
Translation,Translation,,Перевод,
Update Report,Update Report,,Обновление Отчета,
Yesterday,Yesterday,,Вчерашний,
abandoned_orders.actions.scopes_10000,10000,,,
abandoned_orders.actions.scopes_20000,20000,,,
abandoned_orders.actions.scopes_5000,5000,,,
abandoned_orders.attributes.Abandoned Reason,Abandoned Reason,,,
abandoned_orders.attributes.Billing Address,Billing Address,,,
abandoned_orders.attributes.Cancelled At,Cancelled At,,,
abandoned_orders.attributes.ID,ID,,ID,
abandoned_orders.attributes.Order Items,Order Items,,,
abandoned_orders.attributes.Payment Amount,Payment Amount,,,
abandoned_orders.attributes.Shipped At,Shipped At,,,
abandoned_orders.attributes.Shipping Address,Shipping Address,,,
abandoned_orders.attributes.State,State,,,
abandoned_orders.attributes.Tracking Number,Tracking Number,,,
abandoned_orders.attributes.User,User,,Пользователь,
abandoned_orders.name.plural,Abandoned Orders,,,
addresses.attributes.Address1,Address1,,Адрес1,
addresses.attributes.Address2,Address2,,"Адрес2
",
addresses.attributes.City,City,,Город,
addresses.attributes.Contact Name,Contact Name,,Контактное лицо,
addresses.attributes.Mode,Mode,,,
addresses.attributes.Phone,Phone,,Телефон,
cars.attributes.Car Number,Car Number,,,
cars.attributes.Comment,Comment,,,
cars.attributes.Drivers,Drivers,,,
cars.attributes.ID,ID,,ID,
cars.attributes.Is Active,Is Active,,,
cars.attributes.Name,Name,,,
cars.attributes.Number,Number,,,
cars.attributes.Organization,Organization,,,
cars.attributes.Picture,Picture,,,
cars.name,cars.name,,,
cars.name.plural,Cars,,,
categories.attributes.ID,ID,,ID,
categories.attributes.Localization,Localization,,Локализация,
categories.attributes.Name,Name,,Имя,
categories.name,Categories,,,
categories.name.plural,Categories,,Категории,
collections.attributes.ID,ID,,ID,
collections.attributes.Localization,Localization,,Локализация,
collections.attributes.Name,Name,,Имя,
collections.name.plural,Collections,,Коллекции,
color_variation_images.attributes.Image,Image,,Изображение,
